Stable Isotope Data,Ice Age Ungulates
Carbon,Oxygen
-5.85,-1.8
-3.57,-1.01
-4.97,-1.59
-5.7,-1.79
-4.52,-1.36
-5.32,-1.36
-5.3,-2.05
-12.95,0.65
-1.9,1.5
-6.77,0.57
-2.65,0.05
-2.15,0.45
-2.83,-0.16
-5.75,-2.28
-3.68,-0.36
-5.04,0.31
-2.03,1
-4.43,-0.58
-2.15,-0.79
-0.91,2.24
-7.62,-2.03
-0.36,2.24
-14.08,-1.3
-15.22,-1.54
-11.59,-1.15
-14.03,-1.1
-10.77,-0.53
-11.44,-1
-14.16,-2
-13.65,-2.33
-14.2,-3
-13.94,-2.44
-14.1,-0.92
-13.39,-1.61
-13.14,-2.33
-13.13,-2.49
-13.19,-2
-13.26,-2.66
-11.08,-0.82
-12.99,-0.45
-12.42,-2.45
-8.18,-2.77
-13.17,-2.09
-11.27,-0.26
-12.14,-2.11
-12.03,-0.91
-12.99,-2.02
-12.61,-0.84
-12.35,-0.85
-10.99,-2.37
-12.51,-1.72
-11.09,-2.61
-10.29,-2.15
-12.83,-1.51
-13.11,-1.14
-13.16,-1.93
-12.81,-1.53
